Provincia,Año,Trimestre,Accesos telefonía fija (total),Variacion Trimestral,'Accesos telefonía fija (total)'
Chaco,2017,4,-0.7264840893176694,-0.7264840893176694,102077
Chaco,2018,1,-2.9781439501552764,-2.9781439501552764,99037
Chaco,2018,2,-1.0773751224289918,-1.0773751224289918,97970
Chaco,2018,3,-6.472389506991938,-6.472389506991938,91629
Chaco,2018,4,4.5018498510297045,4.5018498510297045,95754
Chaco,2019,1,-2.14194707270714,-2.14194707270714,93703
Chaco,2019,2,-7.230291452781657,-7.230291452781657,86928
Chaco,2019,3,1.5426559911650983,1.5426559911650983,88269
Chaco,2019,4,-1.5192196580906092,-1.5192196580906092,86928
Chaco,2020,1,-3.3211393337014505,-3.3211393337014505,84041
Chaco,2020,2,-3.484013755190918,-3.484013755190918,81113
Chaco,2020,3,1.7617397951006586,1.7617397951006586,82542
Chaco,2020,4,-1.7312398536502682,-1.7312398536502682,81113
Chaco,2021,1,-6.508204603454438,-6.508204603454438,75834
Chaco,2021,2,19.773452541076566,19.773452541076566,90829
Chaco,2021,3,-18.781446454326257,-18.781446454326257,73770
Chaco,2021,4,23.1245763860648,23.1245763860648,90829
Chaco,2022,1,-6.586002267998103,-6.586002267998103,84847
Chubut,2014,1,,,97607
Chubut,2014,2,-0.00409806673701274,-0.00409806673701274,97603
Chubut,2014,3,0.48256713420693487,0.48256713420693487,98074
Chubut,2014,4,1.5172216897444857,1.5172216897444857,99562
Chubut,2015,1,4.739760149454608,4.739760149454608,104281
Chubut,2015,2,3.1942539868240694,3.1942539868240694,107612
Chubut,2015,3,2.3129390774263126,2.3129390774263126,110101
Chubut,2015,4,0.8110734689058319,0.8110734689058319,110994
Chubut,2016,1,10.44921347099843,10.44921347099843,122592
Chubut,2016,2,-5.931055860088752,-5.931055860088752,115321
Chubut,2016,3,2.518188361183138,2.518188361183138,118225
Chubut,2016,4,3.693804186931704,3.693804186931704,122592
Chubut,2017,1,0.0,0.0,122592
Chubut,2017,2,-5.931055860088752,-5.931055860088752,115321
Chubut,2017,3,2.518188361183138,2.518188361183138,118225
Chubut,2017,4,3.693804186931704,3.693804186931704,122592
Chubut,2018,1,-7.026559645001306,-7.026559645001306,113978
Chubut,2018,2,2.6557756760076545,2.6557756760076545,117005
Chubut,2018,3,-0.02051194393402067,-0.02051194393402067,116981
Chubut,2018,4,0.4607585847274276,0.4607585847274276,117520
Chubut,2019,1,-24.465622872702518,-24.465622872702518,88768
Chubut,2019,2,-7.8677000720980494,-7.8677000720980494,81784
Chubut,2019,3,2.5958622713489143,2.5958622713489143,83907
Chubut,2019,4,-2.530182225559252,-2.530182225559252,81784
Chubut,2020,1,-3.780690599628289,-3.780690599628289,78692
Chubut,2020,2,-7.209119097239869,-7.209119097239869,73019
Chubut,2020,3,-0.094495953108098,-0.094495953108098,72950
Chubut,2020,4,0.09458533241946121,0.09458533241946121,73019
Chubut,2021,1,0.06710582177240632,0.06710582177240632,73068
Chubut,2021,2,-6.6499698910603815,-6.6499698910603815,68209
Chubut,2021,3,7.150082833643645,7.150082833643645,73086
Chubut,2021,4,-6.672960621733304,-6.672960621733304,68209
Chubut,2022,1,6.44049905437698,6.44049905437698,72602
Corrientes,2014,1,,,102607
Corrientes,2014,2,0.02046643991151509,0.02046643991151509,102628
Corrientes,2014,3,2.803328526328097,2.803328526328097,105505
Corrientes,2014,4,-0.27107720013269665,-0.27107720013269665,105219
Corrientes,2015,1,3.150571664813384,3.150571664813384,108534
Corrientes,2015,2,-0.0036854810474107325,-0.0036854810474107325,108530
Corrientes,2015,3,2.0989588132313663,2.0989588132313663,110808
Corrientes,2015,4,-2.8815608981300977,-2.8815608981300977,107615
Corrientes,2016,1,-5.172141430098032,-5.172141430098032,102049
Corrientes,2016,2,0.3870689570696362,0.3870689570696362,102444
Corrientes,2016,3,0.11128030924212329,0.11128030924212329,102558
Corrientes,2016,4,-0.4963045301195401,-0.4963045301195401,102049
Corrientes,2017,1,0.0,0.0,102049
Corrientes,2017,2,0.3870689570696362,0.3870689570696362,102444
Corrientes,2017,3,0.11128030924212329,0.11128030924212329,102558
Corrientes,2017,4,-0.4963045301195401,-0.4963045301195401,102049
Corrientes,2018,1,-2.4351047046026864,-2.4351047046026864,99564
Corrientes,2018,2,-0.5654654292716277,-0.5654654292716277,99001
Corrientes,2018,3,-4.234300663629664,-4.234300663629664,94809
Corrientes,2018,4,2.2276366167768957,2.2276366167768957,96921
Corrientes,2019,1,-1.9304381919295066,-1.9304381919295066,95050
Corrientes,2019,2,-5.3456075749605425,-5.3456075749605425,89969
Corrientes,2019,3,1.3215663172870595,1.3215663172870595,91158
Corrientes,2019,4,-1.3043287478882837,-1.3043287478882837,89969
Corrientes,2020,1,-2.578665984950368,-2.578665984950368,87649
Corrientes,2020,2,-2.658330385971319,-2.658330385971319,85319
Corrientes,2020,3,1.2072340275905757,1.2072340275905757,86349
Corrientes,2020,4,-1.1928337328747318,-1.1928337328747318,85319
Corrientes,2021,1,-7.582132936391661,-7.582132936391661,78850
Corrientes,2021,2,24.249841471147747,24.249841471147747,97971
Corrientes,2021,3,-20.33050596605118,-20.33050596605118,78053
Corrientes,2021,4,25.51855790296338,25.51855790296338,97971
Corrientes,2022,1,-9.204764675261046,-9.204764675261046,88953
Córdoba,2014,1,,,741515
Córdoba,2014,2,-0.5944586421043452,-0.5944586421043452,737107
Córdoba,2014,3,-0.5395417490269394,-0.5395417490269394,733130
Córdoba,2014,4,-0.16422735394814314,-0.16422735394814314,731926
Córdoba,2015,1,-0.38829061954350763,-0.38829061954350763,729084
Córdoba,2015,2,-0.6733106199011352,-0.6733106199011352,724175
Córdoba,2015,3,0.4951841750957975,0.4951841750957975,727761
Córdoba,2015,4,-0.8697910440378043,-0.8697910440378043,721431
Córdoba,2016,1,-2.5902685080069987,-2.5902685080069987,702744
Córdoba,2016,2,0.08224901244264782,0.08224901244264782,703322
Córdoba,2016,3,0.1579646307096949,0.1579646307096949,704433
Córdoba,2016,4,-0.018028684062221245,-0.018028684062221245,704306
Córdoba,2017,1,-0.22177860191451293,-0.22177860191451293,702744
Córdoba,2017,2,0.08224901244264782,0.08224901244264782,703322
Córdoba,2017,3,0.1579646307096949,0.1579646307096949,704433
Córdoba,2017,4,-0.018028684062221245,-0.018028684062221245,704306
Córdoba,2018,1,-1.7695433518953418,-1.7695433518953418,691843
Córdoba,2018,2,-1.1634142428267658,-1.1634142428267658,683794
Córdoba,2018,3,-1.336806114122091,-1.336806114122091,674653
Córdoba,2018,4,-0.5386472749695059,-0.5386472749695059,671019
Córdoba,2019,1,-2.2012789503724983,-2.2012789503724983,656248
Córdoba,2019,2,-7.897014543282421,-7.897014543282421,604424
Córdoba,2019,3,1.3139782669119748,1.3139782669119748,612366
Córdoba,2019,4,-1.2969367992344494,-1.2969367992344494,604424
Córdoba,2020,1,-5.0211440975209465,-5.0211440975209465,574075
Córdoba,2020,2,-6.788834211557726,-6.788834211557726,535102
Córdoba,2020,3,2.6688369694002345,2.6688369694002345,549383
Córdoba,2020,4,-2.5994615778063723,-2.5994615778063723,535102
Córdoba,2021,1,-2.1218384532294743,-2.1218384532294743,523748
Córdoba,2021,2,11.449590260965191,11.449590260965191,583715
Córdoba,2021,3,-17.079910572796653,-17.079910572796653,484017
Córdoba,2021,4,20.598036845813272,20.598036845813272,583715
Córdoba,2022,1,-0.6802977480448558,-0.6802977480448558,579744
Entre Ríos,2014,1,,,223508
Entre Ríos,2014,2,0.1190114000393816,0.1190114000393816,223774
Entre Ríos,2014,3,3.0338645240287176,3.0338645240287176,230563
Entre Ríos,2014,4,-0.22293256073177004,-0.22293256073177004,230049
Entre Ríos,2015,1,-0.09128490017343838,-0.09128490017343838,229839
