Provincia,Año,Trimestre,Accesos TV por suscripción,Variacion Trimestral
Misiones,2015,1,114278,1.4947377769883197
Misiones,2015,2,116298,1.7676193143037144
Misiones,2015,3,118527,1.9166279729660118
Misiones,2015,4,119199,0.5669594269660072
Misiones,2016,1,121064,1.564610441362757
Misiones,2016,2,122257,0.9854291944756399
Misiones,2016,3,122505,0.20285137047366675
Misiones,2016,4,123220,0.5836496469531882
Misiones,2017,1,123346,0.10225612725207611
Misiones,2017,2,123028,-0.25781135991438386
Misiones,2017,3,125110,1.6922976883311014
Misiones,2017,4,133485,6.694109183918151
Misiones,2018,1,134351,0.6487620331872446
Misiones,2018,2,134960,0.45329026207472367
Misiones,2018,3,135350,0.2889745109662112
Misiones,2018,4,137821,1.825637236793498
Misiones,2019,1,137541,-0.20316207254337249
Misiones,2019,2,141493,2.8733250448957026
Misiones,2019,3,143508,1.4240987186645349
Misiones,2019,4,144435,0.6459570198177111
Misiones,2020,1,143352,-0.7498182573476009
Misiones,2020,2,142174,-0.821753446062834
Misiones,2020,3,137953,-2.9688972667294977
Misiones,2020,4,138446,0.3573680891318043
Misiones,2021,1,138117,-0.23763777935079666
Misiones,2021,2,140283,1.5682356263168273
Misiones,2021,3,140488,0.14613317365610445
Misiones,2021,4,139606,-0.6278116280394097
Misiones,2022,1,139738,0.09455181009412339
Misiones,2022,2,142495,1.9729780016888743
Neuquén,2014,1,105837,
Neuquén,2014,2,154762,46.22674490017668
Neuquén,2014,3,154805,0.02778459828640667
Neuquén,2014,4,154765,-0.025838958689961
Neuquén,2015,1,111183,-28.160113720802503
Neuquén,2015,2,111237,0.0485685761312471
Neuquén,2015,3,111307,0.06292870178088439
Neuquén,2015,4,111106,-0.18058163457823628
Neuquén,2016,1,111050,-0.050402318506648225
Neuquén,2016,2,111025,-0.02251238180999149
Neuquén,2016,3,110917,-0.09727538842603245
Neuquén,2016,4,110825,-0.08294490474859417
Neuquén,2017,1,110781,-0.03970223325061584
Neuquén,2017,2,110681,-0.09026818678292692
Neuquén,2017,3,109995,-0.6197992428691457
Neuquén,2017,4,77174,-29.838629028592212
Neuquén,2018,1,77047,-0.16456319485836923
Neuquén,2018,2,78776,2.2440847794203522
Neuquén,2018,3,80391,2.0501167868386405
Neuquén,2018,4,80025,-0.4552748441989829
Neuquén,2019,1,80031,0.007497656982202727
Neuquén,2019,2,79179,-1.0645874723544613
Neuquén,2019,3,77398,-2.2493337879993414
Neuquén,2019,4,76801,-0.7713377606656469
Neuquén,2020,1,78339,2.0025780914310953
Neuquén,2020,2,79434,1.397771225060307
Neuquén,2020,3,80161,0.9152252184203347
Neuquén,2020,4,79485,-0.8433028530083209
Neuquén,2021,1,78320,-1.465685349436996
Neuquén,2021,2,78122,-0.2528089887640417
Neuquén,2021,3,77903,-0.2803307647013642
Neuquén,2021,4,76685,-1.563482792703752
Neuquén,2022,1,76008,-0.8828323661733029
Neuquén,2022,2,75772,-0.3104936322492424
Río Negro,2014,1,40129,
Río Negro,2014,2,58097,44.77559869421117
Río Negro,2014,3,58165,0.1170456305833456
Río Negro,2014,4,58053,-0.19255566062065244
Río Negro,2015,1,57497,-0.9577455084147202
Río Negro,2015,2,58204,1.2296293719672224
Río Negro,2015,3,57112,-1.8761597141089936
Río Negro,2015,4,56550,-0.9840313769435505
Río Negro,2016,1,54900,-2.917771883289122
Río Negro,2016,2,54753,-0.2677595628415297
Río Negro,2016,3,54503,-0.4565959856080992
Río Negro,2016,4,54014,-0.897198319358572
Río Negro,2017,1,52481,-2.8381530714259307
Río Negro,2017,2,58240,10.973495169680447
Río Negro,2017,3,57889,-0.6026785714285721
Río Negro,2017,4,90862,56.959007756223116
Río Negro,2018,1,90018,-0.9288811604411085
Río Negro,2018,2,87667,-2.611699882245777
Río Negro,2018,3,95213,8.607571834327633
Río Negro,2018,4,91252,-4.160146198523307
Río Negro,2019,1,90118,-1.2427124884934027
Río Negro,2019,2,108723,20.645154131250145
Río Negro,2019,3,111471,2.527524074942744
Río Negro,2019,4,110594,-0.7867517112074007
Río Negro,2020,1,109833,-0.6881024287031856
Río Negro,2020,2,111595,1.6042537306638183
Río Negro,2020,3,112475,0.7885657959586068
Río Negro,2020,4,111495,-0.8713047343854141
Río Negro,2021,1,110693,-0.7193147674783629
Río Negro,2021,2,111055,0.32703061620880103
Río Negro,2021,3,112180,1.0130115708432808
Río Negro,2021,4,111231,-0.8459618470315511
Río Negro,2022,1,107854,-3.036024129963766
Río Negro,2022,2,107552,-0.2800081591781467
Salta,2014,1,123120,
Salta,2014,2,166019,34.8432423651722
Salta,2014,3,166681,0.3987495407152153
Salta,2014,4,166843,0.09719164151882342
Salta,2015,1,168225,0.8283236335956623
Salta,2015,2,169164,0.5581810075791394
Salta,2015,3,170310,0.677449102645955
Salta,2015,4,172954,1.5524631554224566
Salta,2016,1,170519,-1.407888802803059
Salta,2016,2,174345,2.2437382344489443
Salta,2016,3,172479,-1.0702916630818238
Salta,2016,4,172942,0.2684384765681669
Salta,2017,1,171113,-1.0575799979183786
Salta,2017,2,256395,49.83957969295145
Salta,2017,3,254908,-0.5799645078882198
Salta,2017,4,176445,-30.78090919076687
Salta,2018,1,175454,-0.5616481056419875
Salta,2018,2,169029,-3.661928482679222
Salta,2018,3,176000,4.1241443775920095
Salta,2018,4,176841,0.4778409090909097
Salta,2019,1,174728,-1.1948586583428011
Salta,2019,2,185491,6.159859896524877
Salta,2019,3,188437,1.5882172180860632
Salta,2019,4,189127,0.3661701258245387
Salta,2020,1,187051,-1.0976751072031
Salta,2020,2,202609,8.317517682343322
Salta,2020,3,203833,0.6041192641985216
Salta,2020,4,203833,0.0
Salta,2021,1,203905,0.03532303405238135
Salta,2021,2,195472,-4.135749491184615
Salta,2021,3,243234,24.43419006302694
Salta,2021,4,206327,-15.173454369043803
Salta,2022,1,215980,4.678495785815717
Salta,2022,2,213618,-1.0936197796092229
San Juan,2014,1,42011,
San Juan,2014,2,42146,0.3213444097974305
San Juan,2014,3,42753,1.440231575950257
San Juan,2014,4,42970,0.5075667204640588
San Juan,2015,1,43939,2.2550616709332116
San Juan,2015,2,43565,-0.8511800450624718
San Juan,2015,3,43576,0.025249626994150454
San Juan,2015,4,44239,1.5214797136038127
San Juan,2016,1,42207,-4.593232215918086
San Juan,2016,2,42414,0.4904399744118271
San Juan,2016,3,42357,-0.13438958834347536
San Juan,2016,4,39847,-5.925820997709941
San Juan,2017,1,40819,2.4393304389288994
San Juan,2017,2,40621,-0.4850682280310603
San Juan,2017,3,39530,-2.6858029098249636
San Juan,2017,4,39494,-0.09107007336199846
San Juan,2018,1,37444,-5.1906618726895175
San Juan,2018,2,47920,27.97778015169319
San Juan,2018,3,45075,-5.936978297161932
San Juan,2018,4,43605,-3.261231281198007
San Juan,2019,1,44083,1.0962045636968343
San Juan,2019,2,43355,-1.6514302565614813
San Juan,2019,3,30778,-29.0093414831046
San Juan,2019,4,29520,-4.087335109493795
San Juan,2020,1,30303,2.652439024390252
San Juan,2020,2,33129,9.325809325809331
San Juan,2020,3,33664,1.6148993329107464
San Juan,2020,4,33755,0.2703184410646431
San Juan,2021,1,33922,0.49474151977484393
