Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
La Pampa,2019,2,77.08,0.9561231172233287
La Pampa,2019,3,77.45,0.4800207576543869
La Pampa,2019,4,76.92,-0.6843124596513928
La Pampa,2020,1,75.77,-1.495059802392107
La Pampa,2020,2,76.1,0.4355285733139702
La Pampa,2020,3,79.26,4.152431011826563
La Pampa,2020,4,81.77,3.166792833711818
La Pampa,2021,1,81.78,0.012229423994125632
La Pampa,2021,2,82.08,0.3668378576669129
La Pampa,2021,3,84.28,2.680311890838216
La Pampa,2021,4,89.57,6.2766967252017025
La Pampa,2022,1,91.66,2.333370548174618
La Rioja,2014,1,16.29,
La Rioja,2014,2,16.5,1.2891344383057168
La Rioja,2014,3,16.51,0.0606060606060721
La Rioja,2014,4,17.01,3.028467595396722
La Rioja,2015,1,16.7,-1.8224573780129427
La Rioja,2015,2,16.88,1.0778443113772518
La Rioja,2015,3,17.15,1.5995260663506983
La Rioja,2015,4,17.32,0.9912536443148712
La Rioja,2016,1,16.83,-2.829099307159366
La Rioja,2016,2,16.88,0.2970885323826611
La Rioja,2016,3,17.07,1.1255924170616272
La Rioja,2016,4,16.46,-3.573520796719387
La Rioja,2017,1,16.2,-1.5795868772782606
La Rioja,2017,2,16.2,0.0
La Rioja,2017,3,51.47,217.71604938271608
La Rioja,2017,4,51.57,0.19428793471925054
La Rioja,2018,1,51.44,-0.25208454527826385
La Rioja,2018,2,50.98,-0.8942457231726264
La Rioja,2018,3,50.73,-0.4903883876029802
La Rioja,2018,4,50.35,-0.7490636704119757
La Rioja,2019,1,50.18,-0.337636544190667
La Rioja,2019,2,48.7,-2.949382223993613
La Rioja,2019,3,47.94,-1.5605749486653053
La Rioja,2019,4,47.14,-1.6687526074259385
La Rioja,2020,1,46.35,-1.6758591429783642
La Rioja,2020,2,49.84,7.529665587918011
La Rioja,2020,3,50.12,0.561797752808979
La Rioja,2020,4,50.11,-0.01995211492418214
La Rioja,2021,1,49.81,-0.5986828976252134
La Rioja,2021,2,76.98,54.54727966271833
La Rioja,2021,3,77.26,0.3637308391789995
La Rioja,2021,4,77.92,0.8542583484338451
La Rioja,2022,1,78.77,1.0908624229979402
Mendoza,2014,1,31.91,
Mendoza,2014,2,32.1,0.5954246317768863
Mendoza,2014,3,32.31,0.6542056074766434
Mendoza,2014,4,32.64,1.021355617455888
Mendoza,2015,1,32.37,-0.8272058823529549
Mendoza,2015,2,32.49,0.3707136237256936
Mendoza,2015,3,32.49,0.0
Mendoza,2015,4,32.49,0.0
Mendoza,2016,1,32.12,-1.1388119421360532
Mendoza,2016,2,32.13,0.03113325031134373
Mendoza,2016,3,32.09,-0.12449424214129312
Mendoza,2016,4,32.11,0.0623247117481851
Mendoza,2017,1,31.84,-0.8408595453129886
Mendoza,2017,2,31.76,-0.2512562814070307
Mendoza,2017,3,35.7,12.405541561712852
